URL,Indexed
apple-iforget.com,True
safe-id-login.com,True
manage.netflix.com.usermanagement.key.1973573.helpplusinfo01.com,True
manage.netflix.com.usermanagement.key.1973574.helpplusinfo01.com,True
helpplusinfo01.com,True
icloudsupporto.com,True
fbverify.biz,True
paypal-my-cash.com,True
scotiabank-security.com,True
user-appleid-find.com,True
verifrb2.net,True
icloudmyphone.com,True
iphone-gxa.com,True
postepayverifica.com,True
wap-ios10-icloud.com,True
apple-iosfid.com,True
id-apple-icloud-phone.com,True
payp-verifizierung.info,True
pp-verifizierung.info,True
icloud-support.ru,True
twitterverification.website,True
payp-verifizierung.online,True
accountverification.online,True
loacteidevice.info/sms/,True
gmailverification.com,True
13bmosecure.com,True
appleid.find-user.com,True
appleid-find-user.com,True
kunden-secured.info,True
kunden-verifi.info,True
pp-verifi.info,True
com-support.online,True
twitterverification.website,True
app-findmyiphone.com,True
appleid-find-help.com,True
icloud-apple-ld.com,True
locationmyiphone.com,True
update-scotiabank.com,True
verifiedaccounts.us,True
apple-icloudcid.com,True
bmo-security.com,True
icloud-id-usa.com,True
findmyiphone.vip,True
appleid-icloud-ios-ine.com,True
cl866.com,True
cngdzhongzi.com,True
apple-verify-ios-icloud.com,True
appleid-find-help.com,True
wap-ios-icloud.com,True
https://mail.apaypal.co/Secure/PP/Paypal/,True
apaypal.co/Secure/PP/Paypal/,True
mytechnicalinformation.com,True
appleid-find-help.com,True
localizardispositivos-apple.com,True
apple-id-support.info,True
notifyme-icloud.online,True
apple-accounts.me/clients/home/,True
lost-apple-device.com,True
applescloud.com,True
facebookverification.com,True
info-apple-service.com,True
kor-icloud.com,True
paypal.limited-verificationupdatenow.com/,True
update-accounts-services.com,True
isupporticloud.info/iphone/,True
isupporticloud.info/apple/,True
isupporticloud.info/buscarmiiphone/,True
verificationhelp.online,True
mygadget-info.com,True
34zy2.sljtm.com,True
sljtm.com,True
apple.sljtm.com,True
tqjkp.com,True
apple.tqjkp.com,True
appletracklocation.com,True
icloudicc.com,True
verify-bankofamerica.com,True
apple-ios-icloud-official.com,True
apple-osx-icloud-support.com,True
icloudposizioni.com,True
apple-inc-help.com,True
apple-ios-icloud-support.com,False
icloudiosiccid.com,False
icloudnew.com,False
kr-icloud.com,False
suporte-icloud-id.com,False
apple-iforget.com,False
safe-id-login.com,False
manage.netflix.com.usermanagement.key.1973573.helpplusinfo01.com,False
manage.netflix.com.usermanagement.key.1973574.helpplusinfo01.com,False
helpplusinfo01.com,False
icloudsupporto.com,False
fbverify.biz,False
paypal-my-cash.com,False
scotiabank-security.com,False
user-appleid-find.com,False
verifrb2.net,False
icloudmyphone.com,False
iphone-gxa.com,False
postepayverifica.com,False
wap-ios10-icloud.com,False
apple-iosfid.com,False
id-apple-icloud-phone.com,False
payp-verifizierung.info,False
pp-verifizierung.info,False
icloud-support.ru,False
twitterverification.website,False
payp-verifizierung.online,False
accountverification.online,False
loacteidevice.info/sms/,False
gmailverification.com,False
13bmosecure.com,False
appleid.find-user.com,False
appleid-find-user.com,False
kunden-secured.info,False
kunden-verifi.info,False
pp-verifi.info,False
com-support.online,False
twitterverification.website,False
app-findmyiphone.com,False
appleid-find-help.com,False
icloud-apple-ld.com,False
locationmyiphone.com,False
update-scotiabank.com,False
verifiedaccounts.us,False
apple-icloudcid.com,False
bmo-security.com,False
icloud-id-usa.com,False
findmyiphone.vip,False
appleid-icloud-ios-ine.com,False
cl866.com,False
cngdzhongzi.com,False
apple-verify-ios-icloud.com,False
appleid-find-help.com,False
wap-ios-icloud.com,False
https://mail.apaypal.co/Secure/PP/Paypal/,False
apaypal.co/Secure/PP/Paypal/,False
mytechnicalinformation.com,False
appleid-find-help.com,False
localizardispositivos-apple.com,False
apple-id-support.info,False
notifyme-icloud.online,False
apple-accounts.me/clients/home/,False
lost-apple-device.com,False
applescloud.com,False
facebookverification.com,False
info-apple-service.com,False
kor-icloud.com,False
paypal.limited-verificationupdatenow.com/,False
update-accounts-services.com,False
isupporticloud.info/iphone/,False
isupporticloud.info/apple/,False
isupporticloud.info/buscarmiiphone/,False
verificationhelp.online,False
mygadget-info.com,False
34zy2.sljtm.com,False
sljtm.com,False
apple.sljtm.com,False
tqjkp.com,False
apple.tqjkp.com,False
appletracklocation.com,False
icloudicc.com,False
verify-bankofamerica.com,False
apple-ios-icloud-official.com,False
apple-osx-icloud-support.com,False
icloudposizioni.com,False
apple-inc-help.com,False
apple-ios-icloud-support.com,False
icloudiosiccid.com,False
icloudnew.com,False
kr-icloud.com,False
suporte-icloud-id.com,False
http://mescotrust.org/include/alibaba/alibaba/login.alibaba.com.php,False
http://www.sharizal.net/sharizal/images/alibaba/login.alibaba.com.php?email=abuse@gmaii.com,False
http://www.sharizal.net/sharizal/images/alibaba/login.alibaba.com.php?email=abuse@gmaii.com,False
http://barclays.co.uk.personalbanking.p1242557947640.p1242557947640.p1242557947640.093030023030230230002300239.desarrollocorporativo.cl/cloudit/a4093bbce3f8456db6bce5767faad7d1/myBrky.html#http://www.barclays.co.uk/cs/Satellite?c=Info_C&amp;pagename=BarclaysOnline/BOPopUp&amp;cid=1242617571817,False
http://barclays.co.uk.personalbanking.p1242557947640.p1242557947640.p1242557947640.093030023030230230002300239.desarrollocorporativo.cl/cloudit/9c26121c10f1babf61c651177cead953/myBrky.html#http://www.barclays.co.uk/cs/Satellite?c=Info_C&amp;pagename=BarclaysOnline/BOPopUp&amp;cid=1242617571817,False
http://safetyexpertss.com/1btm/,False
http://alifmeem.co.uk/images/,False
http://match-newsexyphotos.gdrsucre.org/,False
http://pinddanatgaya.com/fre/thourtime/index.htm,False
http://megaprin.com/kool/,False
http://mebankonline.com/,False
http://kalaaninternational.com/brmprd/,False
http://amlegalresources.com/dro/p/dropbo/,False
http://manage.apple.com.webobjectsd5dbc98dcc983a7028bd82d1a47549.divinityhousingprojects.com/60f10f66aac44cc6cd0a2298908c4cdf/login.html,False
http://manage.apple.com.webobjectsd5dbc98dcc983a7028bd82d1a47549.divinityhousingprojects.com/60f10f66aac44cc6cd0a2298908c4cdf/login.html,False
http://tokotrimurni.id/home/7fde6b34c8d0f3e98634f4347cf76a18/,False
http://bbcasangaria.org/do/,False
https://doowood.vn/account/99b9c91b4be0a5980235bda94788c9f1NmE0NGYzN2FhMWNhZmRkNWJkZGYxNDI4MDAzM2EzNTk=/signin1/signin.php?country=&amp;locale=fr_&amp;safeAuth-v=%208EGGAUA3RLEW5E66W9EO5Y&amp;IIESLSANB_WEABRA8,False
http://insumosmedicosmys.cl/wp-includes/css/datanuevo/Empresas.html,False
http://espaceclientesv3-orange.com/7bcdf884319fe7db02041e318ccd9dbd/index.php,False
http://31.168.220.3/cf367ed4d/payment.php?dispatch=,False
http://31.168.220.3/cf367ed4d/personal.php?dispatch=,False
http://slowlros.com/netflix-update-billing/secure.php,False
http://www.mad-sound.com/sites/default/files/3d0c8b721c6aa4426062f21b099fa8f1/confirm.html?confirm=sJidXdidIYnMxmwofLodmAkNOueMHosYks-XdidIYnMxmwofLod,False
http://ahr13318.myjino.ru/bio/domain/,False
http://amazoncontrol.in/s/page/match.html,False
http://school.developerszone.in/images/themes/email.html,False
http://fsdressbd.com/theme/mail.htm,False
http://phonefind.info/,False
http://https-espaceclientev3-orange.com/86e44323bf6f16a2dc863935d3ced589/index.php,False
http://manage.apple.com.webobjectsd5dbc98dcc983a7028bd82d1a47549.divinityhousingprojects.com/e7c4018aa105a0c8f446cb5b1365e279/login.html?cgi-bin/WepObjecls/myid.wa/726/wa/WJLJbjIY488eKrOASmkAew/2.0=,False
http://manage.apple.com.webobjectsd5dbc98dcc983a7028bd82d1a47549.divinityhousingprojects.com/e7c4018aa105a0c8f446cb5b1365e279/login.html?cgi-bin/WepObjecls/myid.wa/726/wa/WJLJbjIY488eKrOASmkAew/2.0=,False
http://manage.apple.com.webobjectsd5dbc98dcc983a7028bd82d1a47549.divinityhousingprojects.com/60f10f66aac44cc6cd0a2298908c4cdf/information.html?account=abuse@icloud.com&amp;id=payment_method,False
http://manage.apple.com.webobjectsd5dbc98dcc983a7028bd82d1a47549.divinityhousingprojects.com/60f10f66aac44cc6cd0a2298908c4cdf/information.html?account=abuse@icloud.com&amp;id=payment_method,False
http://Match-newsexyphotos.gdrsucre.org,False
http://sazeeno.com/ccs/docusign/,False
http://sunshinechristianhomes.org/cosmo/docusignOffice2017/docusignOffice2017/docusign/docusign/index.php,False
http://manage.apple.com.webobjectsd5dbc98dcc983a7028bd82d1a47549.divinityhousingprojects.com/,False
http://gdrsucre.org/match.com-mypicturess/,False
http://theroadgoeseveronandon.com/kkl/Ourtime/ourtime.php,False
http://6264041.info/match-photos.com/,False
http://newmatch663photos.96.lt/,False
http://squirrelunfurled.com/od/ourtime/index.htm,False
http://guruditta.cl/cgi-admin/standard/cellphone.html,False
http://psychlaw.net/wp-content/languages/themes/logining.php,False
http://lifelogisticsnetwork.com/gffg/wp-includes/fonts/logining.php,False
http://pungu.co.id/Biz/BOA/home/login.php,False
http://minicabriolet.bmw.creatory.org/lanta/filds/,False
